Value,Identifier,Housing,Time Period
104.5,MV3H,All R&M,July to Sept 2021
107.8,MV3H,All R&M,Oct to Dec 2021
112.9,MV3H,All R&M,Jan to Mar 2022
115.3,MV3H,All R&M,Apr to Jun 2022
114.9,MV3H,All R&M,Jul to Sep 2022
115.8,MV3H,All R&M,Oct to Dec 2022
121.6,MV3H,All R&M,Jan to Mar 2023
81.4,MV3H,All R&M,Jan 2010
82.7,MV3H,All R&M,Feb 2010
81.3,MV3H,All R&M,Mar 2010
84.7,MV3H,All R&M,Apr 2010
86.1,MV3H,All R&M,May 2010
89.1,MV3H,All R&M,Jun 2010
84.9,MV3H,All R&M,Jul 2010
87.7,MV3H,All R&M,Aug 2010
88.9,MV3H,All R&M,Sep 2010
87.7,MV3H,All R&M,Oct 2010
86.7,MV3H,All R&M,Nov 2010
87.2,MV3H,All R&M,Dec 2010
86.3,MV3H,All R&M,Jan 2011
85.9,MV3H,All R&M,Feb 2011
87.2,MV3H,All R&M,Mar 2011
87.7,MV3H,All R&M,Apr 2011
85.1,MV3H,All R&M,May 2011
84.7,MV3H,All R&M,Jun 2011
86.1,MV3H,All R&M,Jul 2011
85.5,MV3H,All R&M,Aug 2011
86,MV3H,All R&M,Sep 2011
87,MV3H,All R&M,Oct 2011
87.2,MV3H,All R&M,Nov 2011
90,MV3H,All R&M,Dec 2011
85.8,MV3H,All R&M,Jan 2012
87.6,MV3H,All R&M,Feb 2012
86.7,MV3H,All R&M,Mar 2012
85.5,MV3H,All R&M,Apr 2012
88,MV3H,All R&M,May 2012
83.7,MV3H,All R&M,Jun 2012
87.6,MV3H,All R&M,Jul 2012
83.3,MV3H,All R&M,Aug 2012
83.4,MV3H,All R&M,Sep 2012
83.4,MV3H,All R&M,Oct 2012
85.8,MV3H,All R&M,Nov 2012
84.4,MV3H,All R&M,Dec 2012
83.4,MV3H,All R&M,Jan 2013
85.6,MV3H,All R&M,Feb 2013
85.9,MV3H,All R&M,Mar 2013
83.8,MV3H,All R&M,Apr 2013
86.6,MV3H,All R&M,May 2013
87,MV3H,All R&M,Jun 2013
86.4,MV3H,All R&M,Jul 2013
90.3,MV3H,All R&M,Aug 2013
88.5,MV3H,All R&M,Sep 2013
90,MV3H,All R&M,Oct 2013
89.3,MV3H,All R&M,Nov 2013
88.7,MV3H,All R&M,Dec 2013
92.2,MV3H,All R&M,Jan 2014
91.7,MV3H,All R&M,Feb 2014
90.4,MV3H,All R&M,Mar 2014
94.5,MV3H,All R&M,Apr 2014
92.8,MV3H,All R&M,May 2014
94.3,MV3H,All R&M,Jun 2014
93.3,MV3H,All R&M,Jul 2014
96.8,MV3H,All R&M,Aug 2014
94.8,MV3H,All R&M,Sep 2014
93.2,MV3H,All R&M,Oct 2014
94.5,MV3H,All R&M,Nov 2014
92.6,MV3H,All R&M,Dec 2014
93.3,MV3H,All R&M,Jan 2015
91.1,MV3H,All R&M,Feb 2015
95.5,MV3H,All R&M,Mar 2015
92.6,MV3H,All R&M,Apr 2015
92.8,MV3H,All R&M,May 2015
92.2,MV3H,All R&M,Jun 2015
93.3,MV3H,All R&M,Jul 2015
91.6,MV3H,All R&M,Aug 2015
93.5,MV3H,All R&M,Sep 2015
93.5,MV3H,All R&M,Oct 2015
93.5,MV3H,All R&M,Nov 2015
93.4,MV3H,All R&M,Dec 2015
93.8,MV3H,All R&M,Jan 2016
94.6,MV3H,All R&M,Feb 2016
93,MV3H,All R&M,Mar 2016
95,MV3H,All R&M,Apr 2016
94.3,MV3H,All R&M,May 2016
94.5,MV3H,All R&M,Jun 2016
93.8,MV3H,All R&M,Jul 2016
93,MV3H,All R&M,Aug 2016
93.8,MV3H,All R&M,Sep 2016
94,MV3H,All R&M,Oct 2016
94.7,MV3H,All R&M,Nov 2016
97.1,MV3H,All R&M,Dec 2016
96.6,MV3H,All R&M,Jan 2017
97.7,MV3H,All R&M,Feb 2017
97.4,MV3H,All R&M,Mar 2017
99.2,MV3H,All R&M,Apr 2017
97.9,MV3H,All R&M,May 2017
97.4,MV3H,All R&M,Jun 2017
98.5,MV3H,All R&M,Jul 2017
98.2,MV3H,All R&M,Aug 2017
98.1,MV3H,All R&M,Sep 2017
98.1,MV3H,All R&M,Oct 2017
99.8,MV3H,All R&M,Nov 2017
98.6,MV3H,All R&M,Dec 2017
96.9,MV3H,All R&M,Jan 2018
96.2,MV3H,All R&M,Feb 2018
97.3,MV3H,All R&M,Mar 2018
97.4,MV3H,All R&M,Apr 2018
101.4,MV3H,All R&M,May 2018
101.9,MV3H,All R&M,Jun 2018
100.6,MV3H,All R&M,Jul 2018
101.2,MV3H,All R&M,Aug 2018
101,MV3H,All R&M,Sep 2018
99.3,MV3H,All R&M,Oct 2018
99,MV3H,All R&M,Nov 2018
95.6,MV3H,All R&M,Dec 2018
100.5,MV3H,All R&M,Jan 2019
101.8,MV3H,All R&M,Feb 2019
100.4,MV3H,All R&M,Mar 2019
100.9,MV3H,All R&M,Apr 2019
100.8,MV3H,All R&M,May 2019
99.7,MV3H,All R&M,Jun 2019
100.8,MV3H,All R&M,Jul 2019
100.4,MV3H,All R&M,Aug 2019
98,MV3H,All R&M,Sep 2019
98.7,MV3H,All R&M,Oct 2019
99.4,MV3H,All R&M,Nov 2019
98.5,MV3H,All R&M,Dec 2019
95.2,MV3H,All R&M,Jan 2020
98.5,MV3H,All R&M,Feb 2020
95.5,MV3H,All R&M,Mar 2020
57.8,MV3H,All R&M,Apr 2020
60.5,MV3H,All R&M,May 2020
78.6,MV3H,All R&M,Jun 2020
92.9,MV3H,All R&M,Jul 2020
94.7,MV3H,All R&M,Aug 2020
99.1,MV3H,All R&M,Sep 2020
101.8,MV3H,All R&M,Oct 2020
100.3,MV3H,All R&M,Nov 2020
100.3,MV3H,All R&M,Dec 2020
98.2,MV3H,All R&M,Jan 2021
102.5,MV3H,All R&M,Feb 2021
106.4,MV3H,All R&M,Mar 2021
107.1,MV3H,All R&M,Apr 2021
105.7,MV3H,All R&M,May 2021
103.6,MV3H,All R&M,Jun 2021
103.2,MV3H,All R&M,Jul 2021
104.1,MV3H,All R&M,Aug 2021
106.1,MV3H,All R&M,Sep 2021
107.2,MV3H,All R&M,Oct 2021
107.9,MV3H,All R&M,Nov 2021
108.3,MV3H,All R&M,Dec 2021
111.2,MV3H,All R&M,Jan 2022
111.7,MV3H,All R&M,Feb 2022
115.8,MV3H,All R&M,Mar 2022
113.5,MV3H,All R&M,Apr 2022
117.6,MV3H,All R&M,May 2022
114.7,MV3H,All R&M,Jun 2022
115.5,MV3H,All R&M,Jul 2022
114.7,MV3H,All R&M,Aug 2022
114.5,MV3H,All R&M,Sep 2022
116.2,MV3H,All R&M,Oct 2022
115.6,MV3H,All R&M,Nov 2022
115.8,MV3H,All R&M,Dec 2022
118.1,MV3H,All R&M,Jan 2023
123.7,MV3H,All R&M,Feb 2023
122.9,MV3H,All R&M,Mar 2023
122.9,MV3H,All R&M,Apr 2023
73.1,MV3I,All work,1998
74,MV3I,All work,1999
74.7,MV3I,All work,2000
76,MV3I,All work,2001
80.4,MV3I,All work,2002
84.2,MV3I,All work,2003
88.7,MV3I,All work,2004
86.5,MV3I,All work,2005
87.2,MV3I,All work,2006
89.1,MV3I,All work,2007
86.8,MV3I,All work,2008
75.3,MV3I,All work,2009
81.7,MV3I,All work,2010
82.5,MV3I,All work,2011
76.6,MV3I,All work,2012
77.8,MV3I,All work,2013
85.5,MV3I,All work,2014
88.8,MV3I,All work,2015
92.4,MV3I,All work,2016
98,MV3I,All work,2017
98,MV3I,All work,2018
100,MV3I,All work,2019
85.5,MV3I,All work,2020
96.5,MV3I,All work,2021
102.5,MV3I,All work,2022
71.1,MV3I,All work,Jan to Mar 1997
72.4,MV3I,All work,Apr to June 1997
71.5,MV3I,All work,July to Sept 1997
73.1,MV3I,All work,Oct to Dec 1997
74.5,MV3I,All work,Jan to Mar 1998
72.4,MV3I,All work,Apr to June 1998
72.3,MV3I,All work,July to Sept 1998
73.1,MV3I,All work,Oct to Dec 1998
73.4,MV3I,All work,Jan to Mar 1999
73.4,MV3I,All work,Apr to June 1999
74.7,MV3I,All work,July to Sept 1999
74.6,MV3I,All work,Oct to Dec 1999
75.8,MV3I,All work,Jan to Mar 2000
74.9,MV3I,All work,Apr to June 2000
73.2,MV3I,All work,July to Sept 2000
74.6,MV3I,All work,Oct to Dec 2000
74.4,MV3I,All work,Jan to Mar 2001
76.2,MV3I,All work,Apr to June 2001
76,MV3I,All work,July to Sept 2001
77.5,MV3I,All work,Oct to Dec 2001
78.3,MV3I,All work,Jan to Mar 2002
78.8,MV3I,All work,Apr to June 2002
81.5,MV3I,All work,July to Sept 2002
82.8,MV3I,All work,Oct to Dec 2002
81,MV3I,All work,Jan to Mar 2003
83.1,MV3I,All work,Apr to June 2003
85.2,MV3I,All work,July to Sept 2003
87.5,MV3I,All work,Oct to Dec 2003
90.4,MV3I,All work,Jan to Mar 2004
88.8,MV3I,All work,Apr to June 2004
88.2,MV3I,All work,July to Sept 2004
87.3,MV3I,All work,Oct to Dec 2004
87.9,MV3I,All work,Jan to Mar 2005
87.3,MV3I,All work,Apr to June 2005
85.6,MV3I,All work,July to Sept 2005
85.4,MV3I,All work,Oct to Dec 2005
86.2,MV3I,All work,Jan to Mar 2006
86.8,MV3I,All work,Apr to June 2006
87.1,MV3I,All work,July to Sept 2006
88.7,MV3I,All work,Oct to Dec 2006
89.8,MV3I,All work,Jan to Mar 2007
89.4,MV3I,All work,Apr to June 2007
88.1,MV3I,All work,July to Sept 2007
89.1,MV3I,All work,Oct to Dec 2007
90,MV3I,All work,Jan to Mar 2008
89.1,MV3I,All work,Apr to June 2008
86.5,MV3I,All work,July to Sept 2008
81.4,MV3I,All work,Oct to Dec 2008
75.6,MV3I,All work,Jan to Mar 2009
74.6,MV3I,All work,Apr to June 2009
76,MV3I,All work,July to Sept 2009
75,MV3I,All work,Oct to Dec 2009
78.6,MV3I,All work,Jan to Mar 2010
82.5,MV3I,All work,Apr to June 2010
84,MV3I,All work,July to Sept 2010
81.8,MV3I,All work,Oct to Dec 2010
82.9,MV3I,All work,Jan to Mar 2011
83.3,MV3I,All work,Apr to June 2011
81.8,MV3I,All work,July to Sept 2011
82.1,MV3I,All work,Oct to Dec 2011
78.7,MV3I,All work,Jan to Mar 2012
76.8,MV3I,All work,Apr to June 2012
75,MV3I,All work,July to Sept 2012
75.7,MV3I,All work,Oct to Dec 2012
75.5,MV3I,All work,Jan to Mar 2013
76.6,MV3I,All work,Apr to June 2013
78.9,MV3I,All work,July to Sept 2013
80.2,MV3I,All work,Oct to Dec 2013
82.8,MV3I,All work,Jan to Mar 2014
85.4,MV3I,All work,Apr to June 2014
86.6,MV3I,All work,July to Sept 2014
87.2,MV3I,All work,Oct to Dec 2014
88.5,MV3I,All work,Jan to Mar 2015
89.1,MV3I,All work,Apr to June 2015
87.9,MV3I,All work,July to Sept 2015
89.5,MV3I,All work,Oct to Dec 2015
90.9,MV3I,All work,Jan to Mar 2016
92.3,MV3I,All work,Apr to June 2016
92.6,MV3I,All work,July to Sept 2016
93.9,MV3I,All work,Oct to Dec 2016
97.6,MV3I,All work,Jan to Mar 2017
98,MV3I,All work,Apr to June 2017
97.8,MV3I,All work,July to Sept 2017
98.7,MV3I,All work,Oct to Dec 2017
97.1,MV3I,All work,Jan to Mar 2018
97.6,MV3I,All work,Apr to June 2018
98.6,MV3I,All work,July to Sept 2018
98.6,MV3I,All work,Oct to Dec 2018
100.4,MV3I,All work,Jan to Mar 2019
99.8,MV3I,All work,Apr to June 2019
100.4,MV3I,All work,July to Sept 2019
99.4,MV3I,All work,Oct to Dec 2019
97.4,MV3I,All work,Jan to Mar 2020
62.7,MV3I,All work,Apr to June 2020
88.8,MV3I,All work,July to Sept 2020
93.3,MV3I,All work,Oct to Dec 2020
94.3,MV3I,All work,Jan to Mar 2021
97.8,MV3I,All work,Apr to June 2021
96.3,MV3I,All work,July to Sept 2021
97.7,MV3I,All work,Oct to Dec 2021
100.5,MV3I,All work,Jan to Mar 2022
102.4,MV3I,All work,Apr to Jun 2022
103,MV3I,All work,Jul to Sep 2022
104.3,MV3I,All work,Oct to Dec 2022
105,MV3I,All work,Jan to Mar 2023
76.3,MV3I,All work,Jan 2010
79.6,MV3I,All work,Feb 2010
80,MV3I,All work,Mar 2010
81.1,MV3I,All work,Apr 2010
82.7,MV3I,All work,May 2010
83.6,MV3I,All work,Jun 2010
82.5,MV3I,All work,Jul 2010
85.6,MV3I,All work,Aug 2010
83.8,MV3I,All work,Sep 2010
83,MV3I,All work,Oct 2010
82.5,MV3I,All work,Nov 2010
79.8,MV3I,All work,Dec 2010
82.4,MV3I,All work,Jan 2011
82.9,MV3I,All work,Feb 2011
83.4,MV3I,All work,Mar 2011
83.9,MV3I,All work,Apr 2011
82.5,MV3I,All work,May 2011
83.7,MV3I,All work,Jun 2011
82.6,MV3I,All work,Jul 2011
81.2,MV3I,All work,Aug 2011
81.6,MV3I,All work,Sep 2011
80.3,MV3I,All work,Oct 2011
81.6,MV3I,All work,Nov 2011
84.4,MV3I,All work,Dec 2011
79.9,MV3I,All work,Jan 2012
77.5,MV3I,All work,Feb 2012
78.6,MV3I,All work,Mar 2012
77.4,MV3I,All work,Apr 2012
78.2,MV3I,All work,May 2012
74.8,MV3I,All work,Jun 2012
75.4,MV3I,All work,Jul 2012
74.8,MV3I,All work,Aug 2012
75,MV3I,All work,Sep 2012
75.5,MV3I,All work,Oct 2012
76.3,MV3I,All work,Nov 2012
75.3,MV3I,All work,Dec 2012
74.1,MV3I,All work,Jan 2013
76.3,MV3I,All work,Feb 2013
76.2,MV3I,All work,Mar 2013
74.8,MV3I,All work,Apr 2013
76.8,MV3I,All work,May 2013
78.1,MV3I,All work,Jun 2013
77.4,MV3I,All work,Jul 2013
80,MV3I,All work,Aug 2013
79.2,MV3I,All work,Sep 2013
80.8,MV3I,All work,Oct 2013
79.7,MV3I,All work,Nov 2013
80.1,MV3I,All work,Dec 2013
82.9,MV3I,All work,Jan 2014
82.6,MV3I,All work,Feb 2014
82.9,MV3I,All work,Mar 2014
85.6,MV3I,All work,Apr 2014
84.7,MV3I,All work,May 2014
85.8,MV3I,All work,Jun 2014
85.6,MV3I,All work,Jul 2014
87.2,MV3I,All work,Aug 2014
87.1,MV3I,All work,Sep 2014
86.5,MV3I,All work,Oct 2014
88,MV3I,All work,Nov 2014
87.1,MV3I,All work,Dec 2014
88.7,MV3I,All work,Jan 2015
87.9,MV3I,All work,Feb 2015
88.9,MV3I,All work,Mar 2015
89.7,MV3I,All work,Apr 2015
89.1,MV3I,All work,May 2015
88.6,MV3I,All work,Jun 2015
88.6,MV3I,All work,Jul 2015
87.4,MV3I,All work,Aug 2015
87.6,MV3I,All work,Sep 2015
88.9,MV3I,All work,Oct 2015
88.3,MV3I,All work,Nov 2015
91.4,MV3I,All work,Dec 2015
90.8,MV3I,All work,Jan 2016
90.8,MV3I,All work,Feb 2016
91,MV3I,All work,Mar 2016
92.3,MV3I,All work,Apr 2016
92.4,MV3I,All work,May 2016
92.1,MV3I,All work,Jun 2016
92.5,MV3I,All work,Jul 2016
92.3,MV3I,All work,Aug 2016
92.9,MV3I,All work,Sep 2016
92.5,MV3I,All work,Oct 2016
93,MV3I,All work,Nov 2016
96.2,MV3I,All work,Dec 2016
97.4,MV3I,All work,Jan 2017
97.5,MV3I,All work,Feb 2017
97.9,MV3I,All work,Mar 2017
98.5,MV3I,All work,Apr 2017
97.5,MV3I,All work,May 2017
97.9,MV3I,All work,Jun 2017
97,MV3I,All work,Jul 2017
98.8,MV3I,All work,Aug 2017
97.6,MV3I,All work,Sep 2017
96.4,MV3I,All work,Oct 2017
98.4,MV3I,All work,Nov 2017
101.4,MV3I,All work,Dec 2017
97.7,MV3I,All work,Jan 2018
97.5,MV3I,All work,Feb 2018
96.1,MV3I,All work,Mar 2018
96,MV3I,All work,Apr 2018
98.1,MV3I,All work,May 2018
98.8,MV3I,All work,Jun 2018
98.8,MV3I,All work,Jul 2018
98.1,MV3I,All work,Aug 2018
98.9,MV3I,All work,Sep 2018
99.4,MV3I,All work,Oct 2018
99.2,MV3I,All work,Nov 2018
97.3,MV3I,All work,Dec 2018
99.3,MV3I,All work,Jan 2019
101.7,MV3I,All work,Feb 2019
100.2,MV3I,All work,Mar 2019
99.9,MV3I,All work,Apr 2019
100.1,MV3I,All work,May 2019
99.4,MV3I,All work,Jun 2019
100.2,MV3I,All work,Jul 2019
100.6,MV3I,All work,Aug 2019
100.4,MV3I,All work,Sep 2019
99,MV3I,All work,Oct 2019
99.7,MV3I,All work,Nov 2019
99.6,MV3I,All work,Dec 2019
99.4,MV3I,All work,Jan 2020
98.8,MV3I,All work,Feb 2020
93.8,MV3I,All work,Mar 2020
54.6,MV3I,All work,Apr 2020
60.4,MV3I,All work,May 2020
73.1,MV3I,All work,Jun 2020
86,MV3I,All work,Jul 2020
88.7,MV3I,All work,Aug 2020
91.7,MV3I,All work,Sep 2020
93.4,MV3I,All work,Oct 2020
93.9,MV3I,All work,Nov 2020
92.5,MV3I,All work,Dec 2020
91,MV3I,All work,Jan 2021
94.4,MV3I,All work,Feb 2021
97.4,MV3I,All work,Mar 2021
98.7,MV3I,All work,Apr 2021
97.8,MV3I,All work,May 2021
97,MV3I,All work,Jun 2021
96.4,MV3I,All work,Jul 2021
96,MV3I,All work,Aug 2021
96.5,MV3I,All work,Sep 2021
96.2,MV3I,All work,Oct 2021
98,MV3I,All work,Nov 2021
98.8,MV3I,All work,Dec 2021
99.8,MV3I,All work,Jan 2022
99.9,MV3I,All work,Feb 2022
101.8,MV3I,All work,Mar 2022
101.7,MV3I,All work,Apr 2022
104.1,MV3I,All work,May 2022
101.4,MV3I,All work,Jun 2022
102.6,MV3I,All work,Jul 2022
103.2,MV3I,All work,Aug 2022
103.1,MV3I,All work,Sep 2022
103.8,MV3I,All work,Oct 2022
104.1,MV3I,All work,Nov 2022
104.9,MV3I,All work,Dec 2022
103.2,MV3I,All work,Jan 2023
105.9,MV3I,All work,Feb 2023
106,MV3I,All work,Mar 2023
105.4,MV3I,All work,Apr 2023
